"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","experiment"
"2226.9999999552965","<h3 style=""color:blue;"">Welcome to the experiment!</h3> <p>Press any key to begin.</p>","39","html-keyboard-response","0","2238","0.0-0.0","","",""
"1940.9999998752028","<p>Thank you for agreeing to participate in the study.</p><p>Press the spacebar continue.</p>","32","html-keyboard-response","1","4180","0.0-1.0","","",""
"1566.999999806285","<p>In the following task, you will be asked to pretend to choose between earning either:<br><br></p><p><strong>a little money now</strong><br></p><p>or</p><p><strong>a little more money, later</strong></p><br><p>Press the spacebar continue.</p>","32","html-keyboard-response","2","5748","0.0-2.0","","",""
"5783.999999985099","<p>To make your selection on each trial:<br></p><p><strong>press the <u>1</u> key</strong><br></p><p>or</p><p><strong>press the <u>0</u> key</strong><br><br><p>Press either of the response keys to continue.</p>","49","html-keyboard-response","3","11535","0.0-3.0","","",""
"2459.000000031665","<p>There are no right or wrong answers.<br></p><p> Please take your time, and respond as truthfully as you can.</p><p>Press the spacebar continue.</p>","32","html-keyboard-response","4","13996","0.0-4.0","","",""
"null","<p style=""color:black;""> Get Ready...</p>","null","html-keyboard-response","5","15997","0.0-5.0","","",""
"null","<p style=""color:black; font-size:60px;"" id=""countdown""></p>","null","html-keyboard-response","6","21999","0.0-6.0","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","7","23003","0.0-7.0-0.0","fixation","",""
"1495.0000001117587","<h1 style=""color:blue;""><i>Which would you prefer?</i></h1><br><p class=""bold"">$54 now...&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp  (Press 1)</p><p style=""color:black;"">or</p><p class=""bold"">$55 after 117 days...&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp (Press 0)</p>","49","html-keyboard-response","8","24502","0.0-7.0-1.0","experiment",",","1"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","25507","0.0-7.0-0.1","fixation","",""
"1143.9999998547137","<h1 style=""color:blue;""><i>Which would you prefer?</i></h1><br><p class=""bold"">$55 now...&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp  (Press 1)</p><p style=""color:black;"">or</p><p class=""bold"">$75 after 61 days...&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp (Press 0)</p>","49","html-keyboard-response","10","26654","0.0-7.0-1.1","experiment",",","1"
